"Timestamp","How many seconds does it take you to swipe into the dining hall?","Which dining hall station do you typically go to first for lunch?","How many different dining hall stations do you typically go to at lunch? (Out of pasta bar, entree station, grill station, and corner station)","How many times do you get food from the pizza/pasta bar at lunch per week?","How many times do you get food from the entree food bar past the pizza/pasta bar per week at lunch? (specifically on the left as you enter)","How many times do you get food from the grill food bar per week at lunch?","Assuming the corner food bar is operating (Chinatown, Caesar Salad, Sandwich Press, etc.) how many times would you get food from the corner bar per week at lunch?"
"2025/12/04 2:37:49 PM EST","5","Entree bar","3","1","1","3","0"
"2025/12/04 2:38:24 PM EST","10","Grill bar","2","3","4","4","1"
"2025/12/04 2:38:33 PM EST","2","Entree bar","2","1","5","2","2"
"2025/12/04 2:38:40 PM EST","7","Pizza/Pasta bar","3","4","2","3","1"
"2025/12/04 2:38:47 PM EST","3","Pizza/Pasta bar","3","3","1","2","2"
"2025/12/04 2:39:02 PM EST","3","Entree bar","2","0","4","3","0"
"2025/12/04 2:39:04 PM EST","2","Entree bar","2","3","5","2","4"
"2025/12/04 2:39:05 PM EST","3","Entree bar","2","1","5","2","0"
"2025/12/04 2:39:37 PM EST","4","Entree bar","2","1","5","5","2"
"2025/12/04 2:39:38 PM EST","2","Entree bar","3","2","5","0","5"
"2025/12/04 2:40:00 PM EST","2","Entree bar","2","2","4","1","1"
"2025/12/04 2:40:11 PM EST","2","Entree bar","3","0","0","0","1"
"2025/12/04 2:40:18 PM EST","1","Entree bar","2","2","5","5","1"
"2025/12/04 2:41:02 PM EST","10","Entree bar","3","1","5","1","2"
"2025/12/04 2:41:06 PM EST","5","Pizza/Pasta bar","2","4","2","3","2"
"2025/12/04 2:42:32 PM EST","2","Entree bar","2","0","3","3","1"
"2025/12/04 2:43:46 PM EST","2","Pizza/Pasta bar","4","0","4","3","5"
"2025/12/04 2:44:31 PM EST","1","Pizza/Pasta bar","3","4","4","3","1"
"2025/12/04 2:47:10 PM EST","5","Entree bar","2","2","3","4","2"
"2025/12/04 2:48:57 PM EST","4","Entree bar","2","2","2","0","1"
"2025/12/04 2:49:52 PM EST","3","Entree bar","1","2","5","0","1"
"2025/12/04 2:50:39 PM EST","6","Entree bar","2","1","0","2","2"
"2025/12/04 2:51:06 PM EST","4","Entree bar","2","4","5","2","2"
"2025/12/04 2:51:17 PM EST","1","Entree bar","2","1","4","3","4"
"2025/12/04 2:52:08 PM EST","2","Entree bar","2","1","4","1","2"
"2025/12/04 2:52:40 PM EST","3","Entree bar","3","1","4","3","1"
"2025/12/04 2:53:10 PM EST","5","Entree bar","3","0","5","0","3"
"2025/12/04 2:53:25 PM EST","5","Corner bar","3","1","5","4","5"
"2025/12/04 2:55:20 PM EST","2","Entree bar","2","3","2","4","2"
"2025/12/04 2:56:31 PM EST","2","Entree bar","3","2","5","0","1"
"2025/12/04 2:58:07 PM EST","4","Entree bar","2","2","5","3","1"
"2025/12/04 2:58:32 PM EST","4","Pizza/Pasta bar","4","1","5","5","4"
"2025/12/04 3:00:21 PM EST","3","Entree bar","2","1","5","0","3"
"2025/12/04 3:01:30 PM EST","5","Pizza/Pasta bar","2","2","4","3","1"
"2025/12/04 3:02:20 PM EST","5","Entree bar","2","3","5","0","1"
"2025/12/04 3:03:00 PM EST","3","Entree bar","3","1","1","0","0"
"2025/12/04 3:04:13 PM EST","","Entree bar","2","0","5","5","2"
"2025/12/04 3:13:54 PM EST","3","Entree bar","2","1","5","2","1"
"2025/12/04 3:18:11 PM EST","4","Grill bar","2","2","3","5","1"
"2025/12/04 3:20:58 PM EST","3","","3","3","4","1","2"
"2025/12/04 3:22:50 PM EST","2","Entree bar","2","3","5","3","0"
"2025/12/04 3:26:03 PM EST","3","Corner bar","2","0","1","4","2"
"2025/12/04 3:27:04 PM EST","2","Pizza/Pasta bar","3","4","2","4","1"
"2025/12/04 3:29:30 PM EST","3","Entree bar","3","2","4","3","2"
"2025/12/04 3:30:42 PM EST","5","Entree bar","2","0","2","1","3"
"2025/12/04 3:34:26 PM EST","2","Entree bar","2","0","5","5","1"
"2025/12/04 3:37:18 PM EST","3","Grill bar","2","1","1","2","3"
"2025/12/04 3:39:16 PM EST","2","Entree bar","3","0","5","3","5"
"2025/12/04 3:49:38 PM EST","5","Entree bar","3","1","4","3","2"
"2025/12/04 3:51:42 PM EST","2","Entree bar","2","3","5","2","1"
"2025/12/04 3:52:49 PM EST","4","Entree bar","2","0","5","5","1"
"2025/12/04 4:03:58 PM EST","6","Entree bar","2","0","2","0","3"
"2025/12/04 4:04:07 PM EST","3","Pizza/Pasta bar","2","1","4","4","3"
"2025/12/04 4:04:49 PM EST","4","Entree bar","2","1","4","1","1"
"2025/12/04 4:07:50 PM EST","3","Entree bar","4","2","4","2","3"
"2025/12/04 4:08:06 PM EST","3","Pizza/Pasta bar","3","3","5","5","3"
"2025/12/04 4:21:31 PM EST","3","Grill bar","2","2","3","1","3"
"2025/12/04 4:34:58 PM EST","5","Entree bar","2","3","5","1","3"
"2025/12/04 5:00:16 PM EST","3","Entree bar","3","1","5","5","2"
"2025/12/04 5:09:30 PM EST","2","Pizza/Pasta bar","3","1","5","4","2"
"2025/12/04 5:30:30 PM EST","4","Grill bar","2","0","3","3","4"
"2025/12/04 5:54:29 PM EST","6","Grill bar","2","2","1","3","2"
"2025/12/04 6:04:48 PM EST","5","Entree bar","2","2","4","4","2"
"2025/12/04 6:08:56 PM EST","1","Entree bar","4","1","5","3","4"
"2025/12/04 6:09:45 PM EST","4","Entree bar","2","3","5","2","2"
"2025/12/04 6:15:50 PM EST","5","Entree bar","3","1","5","3","3"
"2025/12/04 6:17:51 PM EST","2","Entree bar","2","0","5","1","3"
"2025/12/04 6:22:23 PM EST","6","Entree bar","4","1","1","3","1"
"2025/12/04 6:34:07 PM EST","","Pizza/Pasta bar","2","5","0","3","2"
"2025/12/04 6:55:32 PM EST","2","Corner bar","2","2","5","3","2"
"2025/12/04 7:35:09 PM EST","2","Entree bar","2","1","0","3","4"
"2025/12/04 7:59:32 PM EST","4","Entree bar","2","2","5","4","1"
"2025/12/04 8:42:02 PM EST","3","Grill bar","1","1","3","5","2"
"2025/12/04 8:48:36 PM EST","4","Pizza/Pasta bar","2","3","4","2","1"
"2025/12/04 8:56:03 PM EST","2","Entree bar","2","1","4","2","4"
"2025/12/04 10:15:31 PM EST","2","Entree bar","3","0","5","3","3"
"2025/12/05 12:45:03 AM EST","7","Entree bar","4","3","5","4","1"
"2025/12/05 1:41:11 AM EST","3","Entree bar","2","1","4","4","1"
"2025/12/05 8:42:40 AM EST","3","Pizza/Pasta bar","3","3","3","1","2"
"2025/12/05 9:52:52 AM EST","3","Entree bar","2","1","4","1","2"
"2025/12/05 10:48:44 AM EST","4","Entree bar","2","1","0","1","1"
"2025/12/05 11:22:06 AM EST","2","Entree bar","2","0","5","5","4"
"2025/12/05 11:31:12 AM EST","2","Entree bar","2","0","4","5","1"
"2025/12/05 2:37:39 PM EST","4","Entree bar","2","2","3","3","1"
"2025/12/05 3:37:58 PM EST","3","Entree bar","2","3","5","2","3"
"2025/12/05 8:04:23 PM EST","10","Entree bar","2","3","5","4","3"